date,AAPL
2019-10-30,241.95761100000001
2019-10-31,247.428162
2019-11-01,254.450378
2019-11-04,256.121368
2019-11-05,255.753372
2019-11-06,255.862762
2019-11-07,258.815735
2019-11-08,259.524078
2019-11-11,261.579193
2019-11-12,261.339752
2019-11-13,263.843811
2019-11-14,262.018158
2019-11-15,265.130768
2019-11-18,266.46759
2019-11-19,265.659515
2019-11-20,262.566864
2019-11-21,261.389648
2019-11-22,261.160187
2019-11-25,265.739319
2019-11-26,263.664246
2019-11-27,267.205841
2019-11-29,266.617249
2019-12-02,263.534546
2019-12-03,258.835724
2019-12-04,261.12027
2019-12-05,264.951172
2019-12-06,270.069031
2019-12-09,266.288025
2019-12-10,267.84433
2019-12-11,270.128906
2019-12-12,270.817261
2019-12-13,274.498535
2019-12-16,279.197357
2019-12-17,279.746094
2019-12-18,279.077667
2019-12-19,279.356995
2019-12-20,278.778381
2019-12-23,283.327576
2019-12-24,283.596924
2019-12-26,289.223602
2019-12-27,289.113831
2019-12-30,290.829773
2019-12-31,292.954712
2020-01-02,299.638885
2020-01-03,296.725769
2020-01-06,299.090149
2020-01-07,297.683533
2020-01-08,302.472137
2020-01-09,308.896912
2020-01-10,309.595215
2020-01-13,316.209534
2020-01-14,311.939667
2020-01-15,310.602844
2020-01-16,314.493591
2020-01-17,317.975372
2020-01-21,315.820465
2020-01-22,316.947815
2020-01-23,318.474182
2020-01-24,317.556335
2020-01-27,308.218506
2020-01-28,316.937805
2020-01-29,323.572052
2020-01-30,323.10318
2020-01-31,308.777191
