date,AAPL,AMZN,NFLX,MSFT
2001-12-14,1.264239,11,NA,21.63493
2001-12-17,1.2785,10.81,NA,22.128963
2001-12-18,1.302681,10.86,NA,22.221989
2001-12-19,1.340503,10.71,NA,22.292566
2001-12-20,1.2816,10.15,NA,21.416779
2001-12-21,1.302061,10,NA,21.667004
2001-12-24,1.324383,9.83,NA,21.580385
2001-12-26,1.332442,11.1,NA,21.711916
2001-12-27,1.368404,10.6,NA,21.766449
2001-12-28,1.390725,10.9,NA,21.772869
2001-12-31,1.357864,10.82,NA,21.253164
2002-01-02,1.444668,10.96,NA,21.506609
2002-01-03,1.462029,11.9,NA,22.209158
2002-01-04,1.468849,12.25,NA,22.103291
2002-01-07,1.419867,12.34,NA,21.994228
2002-01-08,1.401886,11.85,NA,22.257286
2002-01-09,1.342363,11.53,NA,22.042343
2002-01-10,1.316322,11.04,NA,22.225197
2002-01-11,1.305162,11.03,NA,22.01026
2002-01-14,1.311362,10.11,NA,21.965353
2002-01-15,1.345463,10.29,NA,22.311819
2002-01-16,1.288421,9.13,NA,21.772869
2002-01-17,1.393825,9.74,NA,22.411264
2002-01-18,1.374604,10.16,NA,21.205044
2002-01-22,1.352904,12.6,NA,20.678928
2002-01-23,1.427307,12.47,NA,20.447962
2002-01-24,1.439088,14.01,NA,20.723846
2002-01-25,1.441568,14.44,NA,20.467209
2002-01-28,1.442808,15.5,NA,20.473619
2002-01-29,1.430407,14.22,NA,19.992416
2002-01-30,1.493651,13.9,NA,20.162439
2002-01-31,1.532712,14.19,NA,20.438335
2002-02-01,1.513491,13.73,NA,20.101486
2002-02-04,1.571774,12.53,NA,19.607449
2002-02-05,1.577974,11.5,NA,19.617075
2002-02-06,1.529612,11.26,NA,19.376469
2002-02-07,1.506671,11.24,NA,19.183994
2002-02-08,1.48993,12.52,NA,19.456675
2002-02-11,1.548833,13.3,NA,19.610657
2002-02-12,1.532092,12.9,NA,19.29306
2002-02-13,1.550693,13.29,NA,19.832012
2002-02-14,1.525272,13.88,NA,19.787104
2002-02-15,1.48187,13.41,NA,19.321936
2002-02-19,1.402506,13.01,NA,18.9049
2002-02-20,1.434128,12.96,NA,19.216074
2002-02-21,1.333063,13.26,NA,18.622587
2002-02-22,1.409946,13.07,NA,18.603342
2002-02-25,1.476289,13.73,NA,18.95302
2002-02-26,1.467609,14.4,NA,18.782991
2002-02-27,1.361584,14.27,NA,18.731663
2002-02-28,1.345463,14.1,NA,18.715624
2002-03-01,1.453968,15.39,NA,19.687645
2002-03-04,1.506051,16.48,NA,20.306801
2002-03-05,1.458929,15.97,NA,20.236225
2002-03-06,1.492411,16.33,NA,20.412664
2002-03-07,1.511631,15.62,NA,20.120729
2002-03-08,1.528992,16.35,NA,20.515327
2002-03-11,1.553793,16.709999,NA,20.640438
2002-03-12,1.532712,16.309999,NA,20.06299
2002-03-13,1.518451,15.74,NA,19.921837
2002-03-14,1.514731,14.48,NA,19.63953
2002-03-15,1.546973,14.03,NA,20.046951
2002-03-18,1.533952,15.01,NA,19.934668
2002-03-19,1.540773,14.66,NA,19.963541
2002-03-20,1.545113,14.5,NA,19.280231
2002-03-21,1.504811,15.17,NA,19.684443
2002-03-22,1.493651,15.53,NA,19.392511
2002-03-25,1.447768,14.74,NA,19.001133
2002-03-26,1.454589,14.83,NA,18.95302
2002-03-27,1.455208,14.25,NA,19.068502
2002-03-28,1.467609,14.3,NA,19.347605
2002-04-01,1.516591,14.8,NA,19.370058
2002-04-02,1.492411,14.25,NA,18.375572
2002-04-03,1.472569,13.67,NA,18.070808
2002-04-04,1.543873,13.54,NA,18.109308
2002-04-05,1.533952,13.5,NA,17.923241
2002-04-08,1.522792,13.95,NA,18.356325
2002-04-09,1.49427,13.6,NA,17.602438
2002-04-10,1.528992,13.48,NA,18.061182
2002-04-11,1.541392,12.74,NA,17.57678
2002-04-12,1.553793,13.31,NA,17.942492
2002-04-15,1.550073,13.89,NA,17.865492
2002-04-16,1.595955,14.01,NA,18.545595
2002-04-17,1.618896,14.82,NA,18.167051
2002-04-18,1.575494,14.26,NA,18.083645
2002-04-19,1.548833,14.53,NA,18.349909
2002-04-22,1.520931,14.31,NA,17.833416
2002-04-23,1.503571,14.06,NA,17.320133
2002-04-24,1.473809,16.790001,NA,17.008951
2002-04-25,1.49551,16.82,NA,17.236723
2002-04-26,1.426687,16.91,NA,16.52133
2002-04-29,1.48559,16.18,NA,16.75873
2002-04-30,1.504811,16.690001,NA,16.765141
2002-05-01,1.48683,16.49,NA,16.922331
2002-05-02,1.468849,16.32,NA,16.428299
2002-05-03,1.457689,16.049999,NA,15.898978
2002-05-06,1.404366,16.120001,NA,15.59742
2002-05-07,1.393205,16.110001,NA,15.870098
2002-05-08,1.511011,17.32,NA,17.63452
2002-05-09,1.49985,17.73,NA,16.720222
2002-05-10,1.445908,16.940001,NA,16.05617
2002-05-13,1.484349,17.32,NA,16.903086
2002-05-14,1.587895,18.809999,NA,17.60564
2002-05-15,1.567433,19.940001,NA,17.563946
2002-05-16,1.563093,19.610001,NA,17.881542
2002-05-17,1.550693,19.16,NA,17.974564
2002-05-20,1.533952,19.389999,NA,17.32655
2002-05-21,1.454589,18.76,NA,16.742682
2002-05-22,1.507911,18.75,NA,17.223886
2002-05-23,1.561234,19.450001,1.196429,17.586399
2002-05-24,1.49737,19.469999,1.21,17.085941
2002-05-28,1.48683,19.059999,1.157143,16.784386
2002-05-29,1.48683,18.91,1.103571,16.697771
2002-05-30,1.500471,18.370001,1.071429,16.887045
2002-05-31,1.444668,18.23,1.076429,16.332054
2002-06-03,1.420487,17.959999,1.128571,15.854064
2002-06-04,1.412426,17.969999,1.117857,16.033714
2002-06-05,1.408706,17.99,1.147143,16.572664
2002-06-06,1.373985,18.17,1.182143,16.649651
2002-06-07,1.326863,18.58,1.118571,16.675314
2002-06-10,1.331823,17.299999,1.156429,16.944794
2002-06-11,1.26858,17.139999,1.153571,16.864578
2002-06-12,1.245639,17.08,1.092857,17.817373
